Item Number,"Standard
Cost","Average
Cost",Wh,Description[1],Description[2],Description[3],Description[4],Description[5],Profile Info[4],"Pricing
Base",Multiplier/Price[1],Multiplier/Price[2],Multiplier/Price[3],Major Pricing,Multiplier/Price[4],Multiplier/Price[5],Multiplier/Price[6],"Price
Per",Item Number,Cross Ref ID
03555,0.00,0.00,HB,Dist. Block 14-2/0 14-4,,,,BDCSHC142/01,,p,10.00,0.00,0.00,0.00,0.00,0.00,0.00,EACH,?,?
03555,0.00,0.00,HB,Dist. Block 14-2/0 14-4,,,,BDCSHC142/01,,P,4.80,4.70,0.00,0.00,0.00,0.00,0.00,EACH,?,?
14ST300,0.00,28.30,HB,SERVICE TRUCK,,,,,,P,28.30,31.13,28.30,,26.17,0.00,0.00,HR,?,?
XSL050,0.00,0.00,HB,HEAT LAMP,,,,,,P,15.37,18.44,15.37,,15.37,0.00,0.00,EA,?,?
LIG165,0.00,0.00,HB,4-FT 4-LIGHT FLOURESCENT WRAP-,AROUND FIXTURE,,,COLU WCW4-432-4EU 120-277V,,P,139.15,166.98,121.00,102.85,102.85,139.15,121.32,EA,LIG165,COLU WCW4-432-4EU
LIG165,0.00,0.00,HB,4-FT 4-LIGHT FLOURESCENT WRAP-,AROUND FIXTURE,,,COLU WCW4-432-4EU 120-277V,,P,139.15,166.98,121.00,102.85,102.85,139.15,121.32,EA,LIG165,OAA0112
LIG165,0.00,0.00,HB,4-FT 4-LIGHT FLOURESCENT WRAP-,AROUND FIXTURE,,,COLU WCW4-432-4EU 120-277V,,P,139.15,166.98,121.00,102.85,102.85,139.15,121.32,EA,LIG165,WCW44324EU
LIG165,0.00,0.00,HB,4-FT 4-LIGHT FLOURESCENT WRAP-,AROUND FIXTURE,,,COLU WCW4-432-4EU 120-277V,,P,139.15,166.98,121.00,102.85,102.85,139.15,121.32,EA,LIG165,XSL009
XSF015,0.00,0.00,HB,GMA MINI FUSE,,,,,,L,0.00,0.00,0.00,,0.00,0.00,0.00,EA,?,?
LIG540,0.00,0.00,HB,PENDANT FIXTURE W/GLOBE VP100,,,,,LIGHT FIXTURES,P,0.00,0.00,0.00,,0.00,412.35,412.35,EA,LIG540,LIG490
LIG540,0.00,0.00,HB,PENDANT FIXTURE W/GLOBE VP100,,,,,LIGHT FIXTURES,P,0.00,0.00,0.00,,0.00,412.35,412.35,EA,LIG540,XSC410
XSC070,639.80,639.80,HB,11K HEAT/COOL W/HEAT PUMP,,,,,,L,0.00,0.00,0.00,,0.00,0.00,0.00,EA,?,?
COIC238,0.00,0.00,HB,7874A09G01 5 CH TYPE A,120V VACUUM COIL,NEW STYLE,,,(C-H) - TYPE A (NEW STYLE),P,2417.58,2901.10,2069.10,,1881.00,2031.48,2417.58,EA,COIC238,XSC028
PLCI528,0.00,44.25,HB,HG9Z-SC125B CABLE TO HG1X,,,,,IDEC MICROSMART PROGRAMMABLE CONTROL,P,36.81,44.17,32.01,,32.01,34.57,39.02,EA,PLCI528,XSC016
BEA220,0.00,0.00,HB,6317 2RS BEARING,,,,,BEARINGS,P,225.98,271.17,225.98,,225.98,0.00,0.00,EA,BEA220,XSB263
BEA224,0.00,0.00,HB,6318 2RS BEARING,,,,,BEARINGS,P,342.94,411.53,342.94,,342.94,0.00,0.00,EA,BEA224,XSB264
BEA228,0.00,0.00,HB,6319 2RS BEARING,,,,,BEARINGS,P,440.99,529.18,440.99,,440.99,0.00,0.00,EA,BEA228,XSB265
BEA192,0.00,0.00,HB,6310 2RS BEARING,,,,,BEARINGS,P,38.89,46.66,38.89,,38.89,0.00,0.00,EA,BEA192,XSB256
BEA196,0.00,0.00,HB,6311 2RS BEARING,,,,,BEARINGS,P,62.96,75.55,62.96,,45.96,0.00,0.00,EA,BEA196,XSB257
BEA200,0.00,0.00,HB,6312 2RS BEARING,,,,,BEARINGS,P,58.97,70.76,58.97,,55.70,0.00,0.00,EA,BEA200,XSB258
BEA204,0.00,0.00,HB,6313 2RS BEARING,,,,,BEARINGS,P,65.19,78.22,65.19,,65.19,65.19,0.00,EA,BEA204,XSB259
BEA208,0.00,0.00,HB,6314 2RS BEARING,,,,,BEARINGS,P,99.47,119.36,99.47,,78.46,0.00,0.00,EA,BEA208,XSB260
BEA216,0.00,0.00,HB,6316 2RS BEARING,,,,,BEARINGS,P,147.00,176.40,147.00,,152.82,0.00,0.00,EA,BEA216,XSB262
BEA152,0.00,0.00,HB,6216 2RS BEARING,,,,,BEARINGS,P,239.39,287.27,239.39,215.45,215.45,215.45,0.00,EA,BEA152,XSB211
BEA156,0.00,0.00,HB,6217 2RS BEARING,,,,,BEARINGS,P,0.00,0.00,0.00,,0.00,0.00,0.00,EA,BEA156,XSB213
BEA168,0.00,0.00,HB,6304 2RS BEARING,,,,,BEARINGS,P,0.00,0.00,0.00,,0.00,0.00,0.00,EA,BEA168,XSB250
BEA176,0.00,0.00,HB,6306 2RS BEARING,,,,,BEARINGS,P,0.00,0.00,0.00,,0.00,54.00,0.00,EA,BEA176,XSB252
BEA180,0.00,0.00,HB,6307 2RS BEARING,,,,,BEARINGS,P,0.00,0.00,0.00,,0.00,0.00,0.00,EA,BEA180,XSB253
BEA184,0.00,0.00,HB,6308 2RS BEARING,,,,,BEARINGS,P,29.47,35.36,29.47,,21.57,90.00,0.00,EA,BEA184,XSB254
BEA188,0.00,0.00,HB,6309 2RS BEARING,,,,,BEARINGS,P,30.98,37.18,30.98,,30.98,108.00,0.00,EA,BEA188,XSB255
BEA116,0.00,0.00,HB,6207 2RS BEARING,,,,,BEARINGS,P,47.31,56.77,47.31,42.58,42.58,42.58,0.00,EA,BEA116,XSB203
BEA120,0.00,0.00,HB,6208 2RS BEARING,,,,,BEARINGS,P,62.07,74.48,62.07,55.86,55.86,55.86,0.00,EA,BEA120,XSB204
BEA124,0.00,0.00,HB,6209 2RS BEARING,,,,,BEARINGS,P,142.14,170.57,142.14,127.93,127.93,127.93,0.00,EA,BEA124,XSB205
BEA128,0.00,0.00,HB,6210 2RS BEARING,,,,,BEARINGS,P,24.08,28.90,24.08,21.67,21.67,21.67,0.00,EA,BEA128,XSB206
BEA132,0.00,0.00,HB,6211 2RS BEARING,,,,,BEARINGS,P,28.46,34.15,28.46,25.61,25.61,25.61,0.00,EA,BEA132,XSB207
BEA136,0.00,0.00,HB,6212 2RS BEARING,,,,,BEARINGS,P,39.63,47.56,39.63,35.67,35.67,35.67,0.00,EA,BEA136,XSB208
BEA140,0.00,0.00,HB,6213 2RS BEARING,,,,,BEARINGS,P,81.46,97.75,81.46,73.31,73.31,79.17,81.46,EA,BEA140,XSB209
LIG500,0.00,0.00,HB,LIGHT BRACKET (FABRICATED),,,,,LIGHT FIXTURES,P,85.00,102.00,85.00,,85.00,0.00,0.00,EA,LIG500,XSB017
BEA100,0.00,0.00,HB,6203 2RS BEARING,,,,,BEARINGS,P,7.04,8.45,6.12,5.51,5.51,5.51,0.00,EA,?,?
